,name,description,language,stars,forks,labels,issues,contents
10,DBMS_lab_sem-4,,,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DAA8460>,<github.PaginatedList.PaginatedList object at 0x000001411DA9CE80>,"[ContentFile(path="".gitignore""), ContentFile(path=""DBMS LAB-3.pdf""), ContentFile(path=""Questions""), ContentFile(path=""README.md""), ContentFile(path=""endsem_2021_flights.sql""), ContentFile(path=""endsem_2021_lan.sql""), ContentFile(path=""lab1-q1.sql""), ContentFile(path=""lab1-q2.sql""), ContentFile(path=""lab1-q3.sql""), ContentFile(path=""lab2-q1.sql""), ContentFile(path=""lab2-q2.sql""), ContentFile(path=""lab3-q1.sql""), ContentFile(path=""lab4.sql""), ContentFile(path=""lab5.sql""), ContentFile(path=""lab6.sql""), ContentFile(path=""lab7.sql"")]"
11,DIP-Project,,HTML,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DAA2D60>,<github.PaginatedList.PaginatedList object at 0x000001411DAAEA60>,"[ContentFile(path="".gitignore""), ContentFile(path="".vscode""), ContentFile(path=""__pycache__""), ContentFile(path=""app.py""), ContentFile(path=""static""), ContentFile(path=""templates"")]"
12,document_automation,,Python,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DABE520>,<github.PaginatedList.PaginatedList object at 0x000001411DAAEDF0>,"[ContentFile(path="".gitignore""), ContentFile(path=""app.py""), ContentFile(path=""data.xlsx""), ContentFile(path=""merged_data.csv""), ContentFile(path=""requirements.txt""), ContentFile(path=""result""), ContentFile(path=""template.docx""), ContentFile(path=""templates""), ContentFile(path=""user_input.xlsx"")]"
13,ds-project,Data Science Web Application,HTML,0,2,<github.PaginatedList.PaginatedList object at 0x000001411DAB0310>,<github.PaginatedList.PaginatedList object at 0x000001411DAC6B20>,"[ContentFile(path="".gitignore""), ContentFile(path="".vscode""), ContentFile(path=""README.md""), ContentFile(path=""app.yaml""), ContentFile(path=""diabetes.csv""), ContentFile(path=""main.py""), ContentFile(path=""output.html""), ContentFile(path=""requirements.txt""), ContentFile(path=""static""), ContentFile(path=""templates""), ContentFile(path=""vercel.json"")]"
14,Friday,This repo is my python project FRIDAY ,Python,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DACFC10>,<github.PaginatedList.PaginatedList object at 0x000001411DAC6EB0>,"[ContentFile(path="".gitattributes""), ContentFile(path=""README.md""), ContentFile(path=""friday.py"")]"
15,github-wrapper-api,Wrapper over GitHub API to automate some tasks ,JavaScript,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DAC9370>,<github.PaginatedList.PaginatedList object at 0x000001411DAD2460>,"[ContentFile(path="".gitignore""), ContentFile(path=""README.md""), ContentFile(path=""controllers""), ContentFile(path=""images""), ContentFile(path=""index.js""), ContentFile(path=""package-lock.json""), ContentFile(path=""package.json""), ContentFile(path=""routes""), ContentFile(path=""token.txt""), ContentFile(path=""utils"")]"
16,image_classifier,,Jupyter Notebook,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DADCFA0>,<github.PaginatedList.PaginatedList object at 0x000001411DADC460>,"[ContentFile(path="".gitignore""), ContentFile(path=""model""), ContentFile(path=""server"")]"
17,iot-project,Smart Energy Grid Management System,Python,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DADCCA0>,<github.PaginatedList.PaginatedList object at 0x000001411DAE17F0>,"[ContentFile(path="".streamlit""), ContentFile(path=""credentials.json""), ContentFile(path=""iot_project.ino""), ContentFile(path=""main.py""), ContentFile(path=""quickstart.py""), ContentFile(path=""requirements.txt""), ContentFile(path=""token.pickle"")]"
18,javascript-dev,,JavaScript,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DAEAF70>,<github.PaginatedList.PaginatedList object at 0x000001411DAEA460>,"[ContentFile(path=""script.js"")]"
19,jitinchekka,,,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DAEAC70>,<github.PaginatedList.PaginatedList object at 0x000001411DAF07C0>,"[ContentFile(path=""README.md"")]"
